ubicacion_original,provincia_normalizada_actual,codigo_provincia_actual,localidad_normalizada_actual,cantidad_ofertas,ejemplo_id_oferta,score_ambiguedad,nivel_ambiguedad,provincia_normalizada_CORRECTA,codigo_provincia_CORRECTO,localidad_normalizada_CORRECTA,comentarios
"Capital Federal, Buenos Aires",Buenos Aires,06,Capital Federal,2836,2091347,70,CRITICA,Buenos Aires,02,Capital Federal,"La descripción de la oferta laboral menciona que el trabajo se desarrolla desde la zona de Nuñez de CABA, lo que indica que se refiere a la Capital Federal. Además, la provincia asignada es Buenos Aires, pero según las reglas críticas, 'Capital Federal' debe ser código 02 (CABA), no código 06. (conf: 0.95)"
"Buenos Aires, Buenos Aires",Buenos Aires,06,Buenos Aires,133,2164002,55,CRITICA,Buenos Aires,06,,"La descripción de la oferta laboral menciona 'Buenos Aires, Buenos Aires', lo que sugiere un error en la normalización. La ubicación original es ambigua y podría referirse a la ciudad de Buenos Aires o a la provincia de Buenos Aires. (conf: 0.80)"
"Pilar, Buenos Aires",Buenos Aires,06,Pilar,173,2153268,40,ALTA,Buenos Aires,06,Pilar,"La ubicación original menciona 'Pilar, Buenos Aires', lo que indica que se refiere a un municipio del Gran Buenos Aires (GBA). La provincia correcta es Buenos Aires, el código INDEC correspondiente es 06 y la localidad correcta es Pilar. (conf: 0.95)"
"Vicente López, Buenos Aires",Buenos Aires,06,Vicente López,127,2162275,40,ALTA,Buenos Aires,06,Vicente López,"La ubicación original menciona 'Vicente López, Buenos Aires', lo que indica que se refiere a un municipio del Gran Buenos Aires (GBA). La provincia correcta es entonces la de Buenos Aires y el código INDEC correspondiente es 06. La localidad correcta también es Vicente López. (conf: 0.95)"
"San Martin, Buenos Aires",Buenos Aires,06,San Martin,120,1116520620,40,ALTA,Buenos Aires,06,San Martin,"La descripción de la oferta menciona 'Villa Maipú, a 8 cuadras de Constituyentes y Gral Paz', lo que sugiere que se refiere a un barrio del Gran Buenos Aires (GBA). Por lo tanto, la provincia correcta es Buenos Aires, el código INDEC correspondiente es 06 y la localidad correcta es San Martin. (conf: 0.95)"
"La Plata, Buenos Aires",Buenos Aires,06,La Plata,92,2162518,40,ALTA,Buenos Aires,06,La Plata,"La descripción de la oferta laboral menciona 'Provincia de Buenos Aires' y 'territorio bonaerense', lo que indica que se refiere a la provincia de Buenos Aires. La localidad asignada es correcta, ya que La Plata es una ciudad en la provincia de Buenos Aires. (conf: 0.95)"
"San Isidro, Buenos Aires",Buenos Aires,06,San Isidro,89,2162505,40,ALTA,Buenos Aires,06,San Isidro,"La descripción de la oferta menciona 'SAN ISIDRO, BUENOS AIRES', lo que indica que se refiere a un municipio del Gran Buenos Aires (GBA), por lo que el código INDEC correcto es 06. (conf: 0.95)"
"Martínez, Buenos Aires",Buenos Aires,06,Martínez,75,2159169,40,ALTA,Buenos Aires,06,Martínez,"La ubicación original menciona 'Martínez, Buenos Aires', lo que sugiere que se refiere a la localidad de Martínez en la provincia de Buenos Aires. La descripción de la oferta laboral no proporciona pistas geográficas adicionales que sugieran una ubicación diferente. (conf: 0.95)"
"Avellaneda, Buenos Aires",Buenos Aires,06,Avellaneda,70,2163102,40,ALTA,Buenos Aires,06,Avellaneda,"La ubicación original menciona 'Avellaneda, Buenos Aires', lo que sugiere que se refiere a la localidad de Avellaneda en la provincia de Buenos Aires. La descripción no contiene pistas geográficas que indiquen que se trata del CABA (Capital Federal). Por lo tanto, la normalización actual es incorrecta. (conf: 0.95)"
"Tigre, Buenos Aires",Buenos Aires,06,Tigre,68,2161209,40,ALTA,Buenos Aires,06,Tigre,"La ubicación original menciona 'Buenos Aires' sin especificar si se refiere a la ciudad o la provincia. Sin embargo, dado que Tigre es una localidad del Gran Buenos Aires (GBA), y el código INDEC para GBA es 06, considero que la normalización actual es incorrecta. (conf: 0.90)"
